Correct,Word,,,
211,211s,,,
223,223s,,,
380,380s,,,
808,808s,,,
911,9_11,,,
{_scratch,{_scratched,,,
223,223s,,,
abort,aborted,,,
acclaim,acclaimed,,,
accomplice,accomplices,,,
account,accounts,,,
ache,aches,,,
ache,aches,,,
achin,aching,,,
achin,aching,,,
acrobatic,acrobatics,,,
acrobatic,acrobatics,,,
actin,acting,,,
actin,acting,,,
ad_lib,ad_libs,,,
ad_lib,ad_libs,,,
addiction,addictions,,,
addiction,addictions,,,
addin,adding,,,
addin,adding,,,
adjective,adjectives,,,
advance,advances,,,
adventure,adventures,,,
affectin,affecting,,,
affectin,affecting,,,
aim,aims,,,
aimin,aiming,,,
aimin,aiming,,,
air_force,air_forces,,,
airin,airing,,,
airin,airing,,,
ak47,ak_47,,,
alarm,alarms,,,
alarm,alarms,,,
album,albums,,,
album,albums,,,
align,aligned,,,
allah,allahs,,,
alley,alleys,,,
alley,alleys,,,
allow,allows,,,
alpine,alpines,,,
amazin,amazing,,,
amazin,amazing,,,
ambulance,ambulances,,,
america,americas,,,
american,americans,,,
amount,amounts,,,
andy,andys,,,
angel,angels,,,
angel,angels,,,
angle,angles,,,
ankle,ankles,,,
ankle,ankles,,,
answer,answers,,,
answer,answered,,,
answerin,answering,,,
answerin,answering,,,
answer,answers,,,
anythin,anything,,,
anythin,anything,,,
aom,aomg,,,
aom,aomg,,,
apartment,apartments,,,
appeal,appeals,,,
appealin,appealing,,,
appear,appears,,,
appear,appears,,,
appetite,appetites,,,
applyin,applying,,,
area,areas,,,
area,areas,,,
arguin,arguing,,,
arm,arms,,,
armpit,armpits,,,
armpit,armpits,,,
arm,arms,,,
arrest,arrested,,,
arrive,arrives,,,
arrow,arrows,,,
arrow,arrows,,,
art,arts,,,
article,articles,,,
artist,artists,,,
artist,artists,,,
ashtray,ash_tray,,,
ashin,ashing,,,
ashtray,ash_tray,,,
ask,asks,,,
askin,asking,,,
askin,asking,,,
ask,asks,,,
assistant,assistants,,,
associate,associates,,,
associate,associates,,,
assumin,assuming,,,
atom,atoms,,,
atom,atoms,,,
attach,attached,,,
attack,attacks,,,
attackin,attacking,,,
attempt,attempts,,,
attitude,attitudes,,,
attorney,attorneys,,,
attract,attracts,,,
attract,attracted,,,
audemar,audemars,,,
audemar,audemars,,,
aunt,aunts,,,
auntie,aunties,,,
auntie,aunties,,,
aunt,aunts,,,
autotune,auto_tune,,,
award,awards,,,
award,awards,,,
axe,axes,,,
aztec,aztecs,,,
bachelor,bachelors,,,
bachelor,bachelors,,,
backflip,backflips,,,
